zone,site,depth,genus,Healthy,Bleached,0%,30%,60%,100%
NE,AYT,d,Montipora,0,0,2,0,0,0
NE,AYT,d,Pavona,3.5,0,8,0,0,0
NE,AYT,d,Platygyra,2.4,0,4,0,0,0
NE,AYT,d,Pleasiatrea,3.1,0,12,0,0,0
NE,AYT,d,Porites,8.1,0,32,0,0,0
NE,AYT,d,Psammocora,0,0,1,0,0,0
NE,AYT,d,Stylocoeniella,8.5,0,18,0,0,0
NE,TPC,d,Acropora,0,0,0,0,0,0
NE,TPC,d,Cyphastrea,0,0,0,0,0,0
NE,TPC,d,Dipsastraea,10.4,0,16,0,0,0
NE,TPC,d,Duncanopsammia,2.4,0,1,0,0,0
NE,TPC,d,Favites,2.4,0,2,0,0,0
NE,TPC,d,Galaxea,0,0,0,0,0,0
NE,TPC,d,Goniopora,1,0,1,0,0,0
NE,TPC,d,Hydnophora,3.1,0,3,0,0,0
NE,TPC,d,Leptastrea,0,0,0,0,0,0
NE,TPC,d,Lithophyllon,0,0,0,0,0,0
NE,TPC,d,Montipora,0,0,0,0,0,0
NE,TPC,d,Pavona,70.9,0,83,0,5,0
NE,TPC,d,Platygyra,6.3,0,4,0,0,0
NE,TPC,d,Pleasiatrea,0,0,0,0,0,0
NE,TPC,d,Porites,3.5,0,8,2,0,0
NE,TPC,d,Psammocora,0,0,0,0,0,0
NE,TPC,d,Stylocoeniella,0,0,0,0,0,0
HHW,pier,s,Acropora,0,0,0,0,0,0
HHW,pier,s,Cyphastrea,3.2,0,7,0,0,4
HHW,pier,s,Dipsastraea,0,2.4,44,3,2,0
HHW,pier,s,Duncanopsammia,0,0,0,0,0,0
HHW,pier,s,Favites,4.5,2.4,34,8,8,3
HHW,pier,s,Galaxea,0,0,0,0,0,0
HHW,pier,s,Goniopora,0,0,1,0,0,0
HHW,pier,s,Hydnophora,0,2.7,0,0,0,8
HHW,pier,s,Leptastrea,4.3,9.7,22,6,23,34
HHW,pier,s,Lithophyllon,0,0,26,0,0,0
HHW,pier,s,Montipora,0,0,0,0,0,0
HHW,pier,s,Pavona,23.8,3.1,87,4,1,0
HHW,pier,s,Platygyra,3.5,5.6,0,6,12,16
HHW,pier,s,Pleasiatrea,0,0,0,0,0,0
HHW,pier,s,Porites,14.1,20.7,26,21,25,16
HHW,pier,s,Psammocora,0,0,0,0,0,0
HHW,pier,s,Stylocoeniella,0,0,3,0,0,0
HHW,CB,s,Acropora,0,0,0,0,0,0
HHW,CB,s,Cyphastrea,0,0,0,0,0,0
HHW,CB,s,Dipsastraea,0,0,5,0,0,0
HHW,CB,s,Duncanopsammia,0,0,0,0,0,0
HHW,CB,s,Favites,0,0,3,1,0,0
HHW,CB,s,Galaxea,0,0,0,0,0,0
HHW,CB,s,Goniopora,0,0,0,0,0,0
HHW,CB,s,Hydnophora,0,0,0,0,0,1
HHW,CB,s,Leptastrea,0,0,2,1,0,2
HHW,CB,s,Lithophyllon,0,0,0,0,0,0
HHW,CB,s,Montipora,0,0,0,0,0,0
HHW,CB,s,Pavona,79.4,3.3,321,5,0,0
HHW,CB,s,Platygyra,3.5,9.4,0,1,31,26
HHW,CB,s,Pleasiatrea,0,0,0,0,0,0
HHW,CB,s,Porites,4.4,0,23,0,1,1
HHW,CB,s,Psammocora,0,0,0,0,0,0
HHW,CB,s,Stylocoeniella,0,0,0,0,0,0
HHW,PI,s,Acropora,0,0,0,0,0,0
HHW,PI,s,Cyphastrea,0,0,1,0,0,0
HHW,PI,s,Dipsastraea,15.9,0,17,0,0,0
HHW,PI,s,Duncanopsammia,0,0,0,0,0,0
HHW,PI,s,Favites,0,0,1,0,0,0
HHW,PI,s,Galaxea,0,0,0,0,0,0
HHW,PI,s,Goniopora,0,0,0,0,0,0
HHW,PI,s,Hydnophora,0,0,0,0,0,0
HHW,PI,s,Leptastrea,0,0,0,0,0,0
HHW,PI,s,Lithophyllon,0,0,0,0,0,0
HHW,PI,s,Montipora,0,0,0,0,0,0
HHW,PI,s,Pavona,3.8,0,2,0,0,0
HHW,PI,s,Platygyra,38.4,21.4,13,8,11,14
HHW,PI,s,Pleasiatrea,0,0,0,0,0,0
HHW,PI,s,Porites,15.9,4.6,11,2,1,1
HHW,PI,s,Psammocora,0,0,0,0,0,0
HHW,PI,s,Stylocoeniella,0,0,0,0,0,0
HHW,pier,d,Acropora,0,0,0,0,0,0
HHW,pier,d,Cyphastrea,3.6,0,7,0,0,0
HHW,pier,d,Dipsastraea,7.8,0,34,0,0,0
HHW,pier,d,Duncanopsammia,0,0,2,0,0,0
HHW,pier,d,Favites,3.7,0,28,0,0,0
HHW,pier,d,Galaxea,0,0,0,0,0,0
HHW,pier,d,Goniopora,42.3,2.7,128,0,2,0
HHW,pier,d,Hydnophora,0,0,1,0,0,0
HHW,pier,d,Leptastrea,7.3,0,34,0,0,0
HHW,pier,d,Lithophyllon,6.7,0,34,0,0,0
HHW,pier,d,Montipora,0,0,0,0,0,0
HHW,pier,d,Pavona,13.4,0,42,0,1,0
HHW,pier,d,Platygyra,0,0,1,0,0,0
HHW,pier,d,Pleasiatrea,0,0,2,0,0,0
HHW,pier,d,Porites,12.5,0,40,0,0,0
HHW,pier,d,Psammocora,0,0,1,0,0,0
HHW,pier,d,Stylocoeniella,0,0,7,0,0,0
HHW,CB,d,Acropora,0,0,0,0,0,0
HHW,CB,d,Cyphastrea,0,0,6,0,0,0
HHW,CB,d,Dipsastraea,0,0,6,0,0,0
HHW,CB,d,Duncanopsammia,0,0,1,0,0,0
HHW,CB,d,Favites,0,0,1,0,0,0
HHW,CB,d,Galaxea,0,0,0,0,0,0
HHW,CB,d,Goniopora,3.4,0,5,0,0,0
HHW,CB,d,Hydnophora,0,0,0,0,0,0
HHW,CB,d,Leptastrea,9.3,0,39,0,0,0
HHW,CB,d,Lithophyllon,0,0,10,0,0,0
HHW,CB,d,Montipora,0,0,0,0,0,0
HHW,CB,d,Pavona,69.4,0,288,0,0,0
HHW,CB,d,Platygyra,0,0,2,0,0,0
HHW,CB,d,Pleasiatrea,2.6,0,4,0,0,0
HHW,CB,d,Porites,0,0,48,0,0,0
HHW,CB,d,Psammocora,0,0,0,0,0,0
HHW,CB,d,Stylocoeniella,15.3,0,57,0,0,0
HHW,PI,d,Acropora,0,0,0,0,0,0
HHW,PI,d,Cyphastrea,0,0,0,0,0,0
HHW,PI,d,Dipsastraea,13.9,0,11,0,0,0
HHW,PI,d,Duncanopsammia,1,0,1,0,0,0
HHW,PI,d,Favites,9.5,0,7,0,0,0
HHW,PI,d,Galaxea,0,0,0,0,0,0
HHW,PI,d,Goniopora,2.9,0,6,0,0,0
HHW,PI,d,Hydnophora,7.3,0,3,0,0,0
HHW,PI,d,Leptastrea,6.8,0,5,0,0,0
HHW,PI,d,Lithophyllon,0,0,0,0,0,0
HHW,PI,d,Montipora,0,0,0,0,0,0
HHW,PI,d,Pavona,5.7,0,2,0,0,0
HHW,PI,d,Platygyra,0,0,0,0,0,0
HHW,PI,d,Pleasiatrea,4.1,0,2,0,0,0
HHW,PI,d,Porites,35.9,0,16,0,0,1
HHW,PI,d,Psammocora,3.1,0,1,0,0,0
HHW,PI,d,Stylocoeniella,9.8,0,4,0,0,0
E,Sharp,s,Acropora,2.3,4.7,3,0,5,18
E,Sharp,s,Cyphastrea,0,0,0,0,0,0
E,Sharp,s,Dipsastraea,0,0,1,0,0,0
E,Sharp,s,Duncanopsammia,0,0,0,0,0,0
E,Sharp,s,Favites,0,0,0,0,0,0
E,Sharp,s,Galaxea,0,0,0,0,0,0
E,Sharp,s,Goniopora,0,5.6,0,0,0,9
E,Sharp,s,Hydnophora,0,0,0,0,0,0
E,Sharp,s,Leptastrea,0,0,0,0,0,0
E,Sharp,s,Lithophyllon,0,0,0,0,0,0
E,Sharp,s,Montipora,0,0,0,0,0,0
E,Sharp,s,Pavona,30.4,27.9,84,10,21,63
E,Sharp,s,Platygyra,1.3,2.3,0,0,0,4
E,Sharp,s,Pleasiatrea,0,0,0,0,0,0
E,Sharp,s,Porites,9.8,15.7,7,11,12,30
E,Sharp,s,Psammocora,0,0,0,0,0,0
E,Sharp,s,Stylocoeniella,0,0,0,0,0,0
E,Shelter,s,Acropora,0,0,0,0,0,0
E,Shelter,s,Cyphastrea,0,0,2,0,0,0
E,Shelter,s,Dipsastraea,5.9,0,19,0,0,1
E,Shelter,s,Duncanopsammia,0,0,0,0,0,3
E,Shelter,s,Favites,15.8,9.4,31,0,11,38
E,Shelter,s,Galaxea,0,0,0,0,0,0
E,Shelter,s,Goniopora,0,0,0,0,0,0
E,Shelter,s,Hydnophora,0,3.4,0,0,0,5
E,Shelter,s,Leptastrea,2.4,0,10,0,0,5
E,Shelter,s,Lithophyllon,0,0,0,0,0,0
E,Shelter,s,Montipora,0,2.3,0,1,0,3
E,Shelter,s,Pavona,4.7,0,3,0,0,0
E,Shelter,s,Platygyra,16.9,29.1,12,18,20,52
E,Shelter,s,Pleasiatrea,0,0,0,0,0,0
E,Shelter,s,Porites,2.5,7.6,16,0,4,14
E,Shelter,s,Psammocora,0,0,0,0,0,0
E,Shelter,s,Stylocoeniella,0,0,0,0,0,0
E,Bluff,s,Acropora,0,0,0,0,0,0
E,Bluff,s,Cyphastrea,0,0,0,0,0,0
E,Bluff,s,Dipsastraea,10.9,4.73,18,5,5,5
E,Bluff,s,Duncanopsammia,0,0,0,0,0,0
E,Bluff,s,Favites,9.3,5.6,25,5,8,7
E,Bluff,s,Galaxea,0,0,0,0,0,0
E,Bluff,s,Goniopora,2.4,0,2,0,0,0
E,Bluff,s,Hydnophora,0,0,0,0,0,4
E,Bluff,s,Leptastrea,0,0,7,0,0,0
E,Bluff,s,Lithophyllon,0,0,0,0,0,0
E,Bluff,s,Montipora,0,0,0,0,1,6
E,Bluff,s,Pavona,16.5,6.7,40,3,0,4
E,Bluff,s,Platygyra,11.27,5.3,4,6,15,17
E,Bluff,s,Pleasiatrea,0,0,0,0,0,0
E,Bluff,s,Porites,17.8,9.5,41,23,31,24
E,Bluff,s,Psammocora,0,0,0,0,0,0
E,Bluff,s,Stylocoeniella,0,0,0,0,0,0
E,Sharp,d,Acropora,5.1,0,11,0,0,0
E,Sharp,d,Cyphastrea,0,0,0,0,0,0
E,Sharp,d,Dipsastraea,0,0,9,0,0,0
E,Sharp,d,Duncanopsammia,0,0,0,0,0,0
E,Sharp,d,Favites,0,0,0,0,0,0
E,Sharp,d,Galaxea,0,0,0,0,0,0
E,Sharp,d,Goniopora,8,0,17,0,0,0
E,Sharp,d,Hydnophora,0,0,0,0,0,0
E,Sharp,d,Leptastrea,9.6,0,4,0,0,0
E,Sharp,d,Lithophyllon,0,0,0,0,0,0
E,Sharp,d,Montipora,10.6,0,10,0,0,0
E,Sharp,d,Pavona,48,0,66,0,0,0
E,Sharp,d,Platygyra,9.4,0,7,0,0,0
E,Sharp,d,Pleasiatrea,0,0,0,0,0,0
E,Sharp,d,Porites,9.3,0,8,0,0,0
E,Sharp,d,Psammocora,0,0,0,0,0,0
E,Sharp,d,Stylocoeniella,0,0,2,0,0,0
E,Shelter,d,Acropora,0,0,6,0,0,0
E,Shelter,d,Cyphastrea,6.4,0,51,0,0,0
E,Shelter,d,Dipsastraea,42.1,0,210,0,0,0
E,Shelter,d,Duncanopsammia,4.3,0,13,0,0,0
E,Shelter,d,Favites,11.3,0,70,0,0,0
E,Shelter,d,Galaxea,0,0,0,0,0,0
E,Shelter,d,Goniopora,0,0,3,0,0,0
E,Shelter,d,Hydnophora,0,0,6,0,0,0
E,Shelter,d,Leptastrea,8.6,0,57,0,0,0
E,Shelter,d,Lithophyllon,0,0,0,0,0,0
E,Shelter,d,Montipora,0,0,8,0,0,0
E,Shelter,d,Pavona,3.1,0,3,0,0,0
E,Shelter,d,Platygyra,8.6,0,33,0,0,0
E,Shelter,d,Pleasiatrea,0,0,1,0,0,0
E,Shelter,d,Porites,15.6,0,57,0,0,0
E,Shelter,d,Psammocora,0,0,0,0,0,0
E,Shelter,d,Stylocoeniella,0,0,0,0,0,0
E,Bluff,d,Acropora,87,0,173,0,0,0
E,Bluff,d,Cyphastrea,0,0,0,0,0,0
E,Bluff,d,Dipsastraea,0,0,0,0,0,0
E,Bluff,d,Duncanopsammia,0,0,0,0,0,0
E,Bluff,d,Favites,0,0,0,0,0,0
E,Bluff,d,Galaxea,0,0,0,0,0,0
E,Bluff,d,Goniopora,1.4,0,4,0,0,0
E,Bluff,d,Hydnophora,0,0,0,0,0,0
E,Bluff,d,Leptastrea,0,0,0,0,0,0
E,Bluff,d,Lithophyllon,0,0,0,0,0,0
E,Bluff,d,Montipora,9.5,0,26,0,0,0
E,Bluff,d,Pavona,2.1,0,16,0,0,0
E,Bluff,d,Platygyra,0,0,0,0,0,0
E,Bluff,d,Pleasiatrea,0,0,0,0,0,0
E,Bluff,d,Porites,0,0,0,0,0,0
E,Bluff,d,Psammocora,0,0,0,0,0,0
E,Bluff,d,Stylocoeniella,0,0,0,0,0,0
